epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1422.85,1.10538,0.95169,1.33644,0.79808,0.74985,0.8232,0.54379,1.15838,0.99208,1.46425,0.000955072,0.000955072,0.000955072
43,1455.97,1.0988,0.96485,1.37425,0.81647,0.74933,0.83959,0.54683,1.17883,0.93355,1.48024,0.000952889,0.000952889,0.000952889
44,1489.06,1.09506,0.92976,1.32935,0.81517,0.76634,0.83986,0.54657,1.15067,0.92021,1.44536,0.000950658,0.000950658,0.000950658
45,1529.13,1.09675,0.9284,1.31907,0.80091,0.8156,0.85158,0.54666,1.17233,0.89906,1.47472,0.000948377,0.000948377,0.000948377
46,1562.06,1.09684,0.92506,1.31923,0.83799,0.77956,0.85633,0.56148,1.16247,0.90714,1.49129,0.000946048,0.000946048,0.000946048
47,1595.01,1.06424,0.90491,1.32351,0.80071,0.74823,0.83266,0.54273,1.19545,0.99917,1.5048,0.000943671,0.000943671,0.000943671
48,1628.07,1.0724,0.89949,1.3072,0.83678,0.76353,0.84035,0.56071,1.12872,0.90707,1.45636,0.000941245,0.000941245,0.000941245
49,1660.78,1.04855,0.91103,1.32273,0.81887,0.76954,0.85348,0.57115,1.15047,0.87931,1.44825,0.000938772,0.000938772,0.000938772
50,1693.74,1.04246,0.87476,1.30128,0.80803,0.76125,0.84024,0.55438,1.13798,0.89834,1.45042,0.000936251,0.000936251,0.000936251
51,1736.75,1.0093,0.87025,1.26782,0.80271,0.77188,0.84441,0.57183,1.11266,0.90966,1.44491,0.000933683,0.000933683,0.000933683
52,1769.73,1.0436,0.8633,1.28598,0.83511,0.76329,0.84138,0.5598,1.14514,0.87189,1.4769,0.000931067,0.000931067,0.000931067
53,1802.77,1.03576,0.86672,1.2917,0.84335,0.80185,0.86694,0.57236,1.13115,0.81149,1.43897,0.000928405,0.000928405,0.000928405
54,1835.97,1.00105,0.8361,1.28753,0.82408,0.76414,0.84512,0.55544,1.13722,0.87627,1.44443,0.000925697,0.000925697,0.000925697
55,1869.15,1.00919,0.82861,1.24998,0.83909,0.78587,0.85345,0.56975,1.12195,0.85527,1.43022,0.000922942,0.000922942,0.000922942
56,1902.21,1.01375,0.81581,1.25789,0.82557,0.78014,0.8612,0.56891,1.13546,0.82325,1.44831,0.000920142,0.000920142,0.000920142
57,1935.25,1.02853,0.86766,1.29737,0.8301,0.78901,0.85753,0.57457,1.14651,0.86581,1.43145,0.000917296,0.000917296,0.000917296
58,1968.53,0.99419,0.82336,1.26671,0.80592,0.79965,0.8567,0.56674,1.17152,0.84007,1.4755,0.000914405,0.000914405,0.000914405
59,2001.51,1.00191,0.84672,1.26726,0.83547,0.75887,0.84157,0.56822,1.10493,0.90308,1.44495,0.000911469,0.000911469,0.000911469
60,2034.56,0.99968,0.82781,1.24787,0.84381,0.7766,0.84413,0.56944,1.11203,0.8737,1.44308,0.000908488,0.000908488,0.000908488
61,2067.64,1.006,0.84391,1.26242,0.82982,0.75215,0.84506,0.56497,1.11374,0.89867,1.41424,0.000905463,0.000905463,0.000905463
