epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,6043.57,0.67738,0.47705,1.05397,0.83321,0.80601,0.8427,0.58607,1.03712,0.77917,1.43547,0.000361929,0.000361929,0.000361929
180,6076.58,0.6734,0.48137,1.05079,0.84118,0.78886,0.84907,0.58823,1.04512,0.78887,1.43604,0.000356975,0.000356975,0.000356975
181,6117.96,0.66649,0.47138,1.05123,0.83814,0.80796,0.85822,0.59196,1.03591,0.76477,1.43162,0.000352037,0.000352037,0.000352037
182,6150.85,0.64918,0.46145,1.04783,0.83086,0.78901,0.84294,0.58926,1.03928,0.76267,1.42708,0.000347115,0.000347115,0.000347115
183,6183.85,0.6846,0.47586,1.04572,0.85388,0.77708,0.84325,0.58141,1.0404,0.79693,1.43294,0.000342211,0.000342211,0.000342211
184,6216.67,0.65676,0.47433,1.0574,0.86221,0.7695,0.83993,0.58456,1.03787,0.78003,1.45052,0.000337325,0.000337325,0.000337325
185,6249.51,0.65723,0.48274,1.05688,0.84532,0.78487,0.84249,0.5874,1.02988,0.74246,1.43467,0.000332457,0.000332457,0.000332457
186,6282.41,0.65377,0.45646,1.04875,0.84439,0.81206,0.85389,0.59248,1.02363,0.73195,1.44052,0.000327608,0.000327608,0.000327608
187,6315.61,0.66159,0.46737,1.04551,0.86584,0.78901,0.85998,0.58421,1.04499,0.72618,1.4532,0.000322778,0.000322778,0.000322778
188,6348.46,0.64606,0.46327,1.03603,0.84485,0.78546,0.8402,0.58295,1.04765,0.76318,1.45753,0.000317969,0.000317969,0.000317969
189,6381.47,0.64603,0.45776,1.04342,0.87366,0.77482,0.83295,0.57468,1.03423,0.78027,1.44869,0.00031318,0.00031318,0.00031318
190,6414.33,0.62938,0.45273,1.03041,0.84582,0.81206,0.85073,0.59052,1.02827,0.75064,1.4432,0.000308412,0.000308412,0.000308412
191,6447.27,0.65743,0.47578,1.05057,0.86009,0.76299,0.82991,0.57915,1.02589,0.78509,1.43578,0.000303665,0.000303665,0.000303665
192,6480.18,0.64003,0.4549,1.03585,0.85221,0.78191,0.83945,0.57965,1.0385,0.77782,1.45108,0.000298941,0.000298941,0.000298941
